Contact	Overhead
69000	203.44468546637745
133000	207.85267349260522
47500	201.5793650793651
111500	205.190188172043
26000	202.35258358662614
90000	202.04276315789474
4500	175.43243243243242
68500	203.39344262295083
132500	207.54643874643875
47000	201.28044871794873
111000	205.11126095751854
25500	198.92705167173253
89500	202.34408602150538
4000	206.44
68000	202.94731064763997
132000	209.27293710328908
46500	204.21018062397374
110500	205.75934738273284
25000	198.02167182662538
89000	201.90116279069767
3500	211.16666666666666
67500	202.57853982300884
131500	208.65204847085977
46000	202.46128500823724
110000	206.30390143737165
24500	200.57234726688102
88500	202.4924623115578
3000	179.25
67000	204.006734006734
131000	208.03526011560695
45500	204.23529411764707
109500	205.4188911704312
24000	208.3095238095238
88000	202.72512647554805
2500	485.5
66500	203.05067567567568
130500	207.12196531791906
45000	201.43361344537814
109000	204.58835616438355
23500	205.19655172413792
87500	202.2055837563452
2000	187.0
66000	202.0135593220339
130000	207.65910413030832
44500	199.78040540540542
108500	204.86579490708877
23000	201.02068965517242
87000	201.5653650254669
1500	56.0
65500	201.31292517006804
129500	208.05620608899298
44000	201.81692573402418
108000	204.7344398340249
22500	197.72822299651568
86500	202.2841201716738
1000	NaN
65000	203.23325635103927
129000	207.69266862170088
43500	202.43508771929825
107500	204.72828353022933
22000	201.7007299270073
86000	201.48323301805675
500	NaN
64500	203.52797202797203
128500	208.02538370720188
43000	201.24471830985917
107000	204.30522648083624
21500	202.46067415730337
85500	201.82164502164503

